epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1578.9,1.64992,4.62051,0.00881,0.32022,0.40585,0.33539,0.18154,1.50321,4.27149,0.01002,0.000474428,0.000474428,0.000474428
2,5448.78,1.62988,3.10001,0.00883,0.52829,0.51983,0.511,0.27477,1.57413,2.90343,0.01089,0.000931936,0.000931936,0.000931936
3,6896.26,1.68257,2.30505,0.00937,0.58284,0.59088,0.58799,0.32501,1.5203,2.08092,0.01077,0.00137058,0.00137058,0.00137058
4,8292.62,1.65351,1.90645,0.00923,0.59023,0.57528,0.61497,0.34389,1.50089,1.77038,0.01064,0.00134412,0.00134412,0.00134412
